Joueur,Âge,Équipe,Classement de l'équipe,Points par match,Anecdotes
Shai Gilgeous-Alexander,26,Oklahoma City Thunder,1,32.5,"Favori pour le titre de MVP 2025, il mène la ligue en termes de points par match."
Giannis Antetokounmpo,30,Milwaukee Bucks,5,31.8,A mené les Bucks à la victoire de la NBA Cup en décembre 2024.
Nikola Jokić,29,Denver Nuggets,4,29.5,"Détient le plus haut PER de l'histoire de la NBA avec 28,25."
LaMelo Ball,23,Charlotte Hornets,14,28.2,"Malgré ses performances, son équipe est en difficulté."
Luka Dončić,25,Dallas Mavericks,8,28.1,A réalisé un triple-double de 45 points contre les Warriors en décembre 2024.
Tyrese Maxey,24,Philadelphia 76ers,11,27.9,Émerge comme l'un des jeunes arrières les plus prometteurs de la ligue.
Anthony Edwards,23,Minnesota Timberwolves,7,26.9,Connu pour ses performances explosives.
Kevin Durant,36,Phoenix Suns,11,26.9,Sélectionné comme titulaire pour le All-Star Game 2025.
Jayson Tatum,27,Boston Celtics,2,26.8,Leader des Celtics avec une efficacité offensive remarquable.
Devin Booker,28,Phoenix Suns,11,26.1,Devenu le meilleur marqueur de l'histoire des Suns.
Jalen Brunson,28,New York Knicks,3,26.1,Titulaire au All-Star Game 2025.
Anthony Davis,31,Los Angeles Lakers,5,25.7,Continue d'être une force dominante des deux côtés du terrain.
Cade Cunningham,23,Detroit Pistons,7,25.6,Émerge comme le leader des Pistons.
Damian Lillard,34,Milwaukee Bucks,5,25.1,A rejoint les Bucks et maintient des statistiques impressionnantes.
De'Aaron Fox,27,San Antonio Spurs,12,25.0,A réalisé un record personnel de 60 points en un match.
Victor Wembanyama,21,San Antonio Spurs,12,24.6,Sélectionné pour son premier All-Star Game en 2025.
Kyrie Irving,32,Dallas Mavericks,8,24.5,Continue d'afficher des performances solides avec les Mavericks.
Karl-Anthony Towns,29,New York Knicks,3,24.3,A rejoint les Knicks et a été sélectionné pour le All-Star Game 2025.
LeBron James,40,Los Angeles Lakers,5,24.1,Joueur ayant accumulé le plus de minutes jouées en saison régulière.
Zach LaVine,29,Chicago Bulls,10,24.0,Devenu le leader des Bulls en termes de trois points réussis.
